DECOM_STREAM_1,TA401,11:16:41.095,11:16:41.095,AVG,1,1,1150627499,1193.458374
DECOM_STREAM_1,TA401,11:16:41.204,11:16:41.642,AVG,1,1,1153043729,1488.408325
DECOM_STREAM_1,TA401,11:16:41.751,11:16:42.189,AVG,1,1,1157070165,1979.916626
DECOM_STREAM_1,TA401,11:16:42.298,11:16:42.736,AVG,1,1,1159362321,2471.441650
DECOM_STREAM_1,TA401,11:16:42.845,11:16:43.218,AVG,1,1,1161375573,2962.958252
DECOM_STREAM_1,TA401,11:16:43.328,11:16:43.765,AVG,1,1,1163388860,3454.483398
DECOM_STREAM_1,TA401,11:16:43.875,11:16:44.312,AVG,1,1,1162046669,3126.800049
DECOM_STREAM_1,TA401,11:16:44.422,11:16:44.859,AVG,1,1,1135264290,341.516663
DECOM_STREAM_1,TA401,11:16:44.968,11:16:45.406,AVG,1,1,1146110635,833.041687
DECOM_STREAM_1,TA401,11:16:45.515,11:16:45.953,AVG,1,1,1151701470,1324.558350
DECOM_STREAM_1,TA401,11:16:46.000,11:16:46.438,AVG,1,1,1155728043,1816.083374
DECOM_STREAM_1,TA401,11:16:46.547,11:16:46.985,AVG,1,1,1158691191,2307.591553
DECOM_STREAM_1,TA401,11:16:47.094,11:16:47.531,AVG,1,1,1160704512,2799.125000
DECOM_STREAM_1,TA401,11:16:47.641,11:16:48.078,AVG,1,1,1162717730,3290.633301
DECOM_STREAM_1,TA401,11:16:48.188,11:16:48.625,AVG,1,1,1164731051,3782.166748
